nb,bmw,handling,hyundai,kia,mph,performance,pontiac,power,price,toyota
bmw, ,1.5912101290479668,1.3736800705418002,1.3878115615615614,1.0378147659854977,1.4524543366896308,1.4026261059265543,1.4885558028616854,1.6028636342121456,1.3005117373145791
handling, , ,1.517533976234131,1.5439189189189186,2.284497912546693,2.413760819643173,1.6200763543812873,2.8965129835718075,1.9215616667455544,1.6002885656526866
hyundai, , , ,3.0602091604810404,1.3319618294577562,1.592615834526457,1.103728870238474,1.4043975995369666,1.2392787599503359,1.415365638507183
kia, , , , ,1.3739413956639563,1.6220679012345682,1.1157448928749376,1.4038562091503268,1.2505472854640978,1.407362180119729
mph, , , , , ,1.941503267973856,1.7219348135185388,2.2161549497847925,1.3957327751911497,1.6943890886510995
performance, , , , , , ,1.4835522729271076,1.9186620530565168,1.6728889804608364,1.4207803666167476
pontiac, , , , , , , ,1.7551886045898175,1.7636417896381933,1.2681805510199204
power, , , , , , , , ,1.8360976614814049,1.5890669731480518
price, , , , , , , , , ,1.410682493812337
toyota, , , , , , , , , , 
