nb,acura,audi,bmw,honda,hyundai,infiniti,kia,lexus,pontiac,toyota
acura, ,2.0580774824659556,1.3917495136790696,2.3211929600804764,1.206157613785873,2.8965883954398497,1.2344521014122851,2.4082965498603732,1.7135263942205339,1.40052243278506
audi, , ,1.6085583968169246,1.4231850560975483,1.154432034452526,2.2334929184121286,1.1566302613205666,2.1332136445242367,1.5496888359324055,1.3324691503688995
bmw, , , ,1.2760648331616071,1.3736800705418002,1.8595645645645644,1.3878115615615614,2.059042925278219,1.4026261059265543,1.3005117373145791
honda, , , , ,1.4165194822551028,1.4518572825024438,1.4006700065167812,1.4518572825024438,1.5078481911550048,1.6710542079246602
hyundai, , , , , ,1.2030467805972724,3.0602091604810404,1.477995755526447,1.103728870238474,1.415365638507183
infiniti, , , , , , ,1.1731511158594494,3.260729847494553,2.7665919282511213,1.3603874745082563
kia, , , , , , , ,1.4561274509803916,1.1157448928749376,1.407362180119729
lexus, , , , , , , , ,1.3477341070957527,1.6483811049582655
pontiac, , , , , , , , , ,1.2681805510199204
toyota, , , , , , , , , , 
